,Roundness
100008.0,5.50481943120412
100023.0,7.538353066582833
100053.0,5.608482699265374
100078.0,5.761818598312641
100090.0,5.223407722566023
100122.0,5.471187600889668
100123.0,6.3809229644123535
100128.0,5.699841268716321
100134.0,6.000285180901916
100143.0,11.37574646338193
100150.0,5.45743186034712
100157.0,5.449306290575357
100187.0,5.2086509248091835
100204.0,6.342673011289902
100237.0,6.1785305563015696
100259.0,5.274071738397506
100263.0,6.569568228772378
100288.0,5.7132748840818515
100295.0,5.944446636154927
100322.0,7.732137714944181
100335.0,6.72760358045797
100367.0,5.403974296663546
100380.0,7.197243373331538
100382.0,5.650003589107479
100383.0,7.840186787712177
100402.0,5.411560195623586
100428.0,5.281182128778307
100434.0,5.43393590803809
100444.0,6.615138674823916
100445.0,5.287908215752217
100458.0,8.00596904866624
100474.0,7.404625439003642
100479.0,5.3026712940974585
100506.0,6.334180972336353
100513.0,6.268229897351734
100520.0,8.874405026171404
100541.0,6.117290502293826
100561.0,5.695997523900146
100571.0,5.415542012381002
100601.0,5.652687087062297
100623.0,7.004853098348513
100672.0,5.551036094366821
100673.0,7.676472671219819
100724.0,5.4325558405050955
100727.0,5.2735524493876484
100730.0,5.430587767638692
100740.0,6.654474631895555
100744.0,5.23831039215263
100765.0,5.4480278639930395
100774.0,5.332055997914414
100801.0,5.634678432798684
100813.0,5.678356009723945
100821.0,5.342652153460123
100822.0,6.035904623931054
100836.0,7.329230077598988
100852.0,5.159606657394331
100859.0,6.372070109548544
100861.0,7.025758749101686
100867.0,5.459609975928649
100887.0,5.129829617142984
100894.0,5.577563933717154
100938.0,8.386675852807784
100951.0,4.91586036545828
100986.0,5.904561970837189
101007.0,5.5063555777481525
101061.0,5.514833455433236
101074.0,8.113688920377475
101092.0,5.121133158282203
101127.0,8.882785290686156
101133.0,5.8747579608165355
101135.0,11.268386906805143
101140.0,5.489911889061445
101151.0,5.476818813225123
101164.0,5.592632447484533
101166.0,5.2539246755676645
101181.0,7.6068119363266264
101232.0,8.944451619759008
101239.0,8.350006901484791
101244.0,6.45391913939047
101246.0,6.331033930365721
101247.0,5.651238757785993
101251.0,5.216730632602458
101275.0,6.342465648532563
101283.0,5.201192441752604
101286.0,5.560709326243592
101290.0,5.290311948756953
101291.0,5.321533803088829
101296.0,6.15496233009847
101298.0,5.18728416382539
101306.0,9.689527535338213
101307.0,5.0222226486775865
101315.0,5.532867380756802
101324.0,5.584287340967778
101325.0,5.838068557645054
101355.0,8.04971607154063
101358.0,5.183704134042164
101371.0,5.795805025724821
101374.0,7.789348082547919
101375.0,6.426991833754129
101427.0,5.241458655890775
101469.0,5.950539385801326
101493.0,5.670795661344203
101501.0,7.51559990917205
101502.0,5.36483595916731
101518.0,9.103091575476881
101538.0,5.425781354789076
101548.0,5.124581423615908
101549.0,5.256662629102353
101563.0,7.042219844621883
101564.0,5.136510224459509
101572.0,6.192076447291592
101589.0,6.480442895162906
101591.0,5.784670046993889
101595.0,7.791666285915392
101597.0,6.602104060504538
101599.0,6.18173013586798
101623.0,5.475997428805888
101627.0,6.515486339466254
101651.0,6.022033287312329
101654.0,9.812900698883178
101660.0,6.170468593143235
101666.0,5.377105138850385
101685.0,7.532182700623395
101695.0,5.462040589161468
101701.0,5.2748147159854515
101718.0,6.95973035692279
101754.0,5.625101142130956
101756.0,5.590978060874102
101762.0,5.541129213029886
101774.0,5.95431290791468
101787.0,6.52018310625205
101788.0,7.679113079912401
101798.0,5.168106668767112
101804.0,5.382495312479062
101807.0,5.943424168715625
